"employer_name","reviews_count","culture_count","salaries_count","benefits_count","employer_website","employer_headquarters","employer_founded","employer_industry","employer_revenue","url","geral","cultura_e_valores","diversidade_e_inclusao","qualidade_de_vida","alta_lideranca","remuneracao_e_beneficios","oportunidades_de_carreira","recomendam_para_outras_pessoas","perspectiva_positiva_da_empresa","segmento","nome","match_percent","ano","trimestre","categoria","tipo","cnpj","instituicao_financeira","indice","quantidade_de_reclamacoes_reguladas_procedentes","quantidade_de_reclamacoes_reguladas_outras","quantidade_de_reclamacoes_nao_reguladas","quantidade_total_de_reclamacoes","quantidade_total_de_clientes_ccs_e_scr","quantidade_de_clientes_ccs","quantidade_de_clientes_scr"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,QUERO-QUERO VERDECARD INSTITUI��O DE PAGAMENTO S.A.,null,"4","11","2","17","389143",null,"389143"
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"29","43","15","87","228987","3382","225607"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"29","39","17","85","226210","3382","222831"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"19","32","17","68","225158","1","225157"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"13","26","13","52","232901","1","232900"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"16","19","9","44","138135","2234","135902"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/A,null,"13","6","5","24","622170",null,"622170"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/A,null,"1","3","0","4","653498",null,"653498"
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,BANCO CNH INDUSTRIAL CAPITAL S.A.,null,"0","1","2","3","28352","1238","27399"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,BANCO CNH INDUSTRIAL CAPITAL S.A.,null,"0","0","1","1","27828","1237","26867"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,BANCO CNH INDUSTRIAL CAPITAL S.A.,null,"0","0","1","1","28309","1234","27347"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO CNH INDUSTRIAL CAPITAL S.A.,null,"0","1","0","1","28397","1230","27318"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO CNH INDUSTRIAL CAPITAL S.A.,null,"2","0","0","2","29075","1232","27996"
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,BANCO TOYOTA DO BRASIL S.A.,null,"0","0","1","1","164435","15283","150113"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,BANCO TOYOTA DO BRASIL S.A.,null,"4","1","8","13","159896","15262","145562"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,BANCO TOYOTA DO BRASIL S.A.,null,"1","4","3","8","155981","15264","141643"
