"employer_name","reviews_count","culture_count","salaries_count","benefits_count","employer_website","employer_headquarters","employer_founded","employer_industry","employer_revenue","url","geral","cultura_e_valores","diversidade_e_inclusao","qualidade_de_vida","alta_lideranca","remuneracao_e_beneficios","oportunidades_de_carreira","recomendam_para_outras_pessoas","perspectiva_positiva_da_empresa","segmento","nome","match_percent","ano","trimestre","categoria","tipo","cnpj","instituicao_financeira","indice","quantidade_de_reclamacoes_reguladas_procedentes","quantidade_de_reclamacoes_reguladas_outras","quantidade_de_reclamacoes_nao_reguladas","quantidade_total_de_reclamacoes","quantidade_total_de_clientes_ccs_e_scr","quantidade_de_clientes_ccs","quantidade_de_clientes_scr"
Apex Group,"450","281","592","74",http://www.apexgroup.com,"Hamilton, Bermuda","2003.0","/Explorar/melhores-gestÃ£o-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$Â 10 bilhÃµes,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Apex-Group-EI_IE764729.13,23.htm","3.2","2.9","3.5","3.0","2.9","2.7","3.2","52.0","53.0","655522",APE POUPEX,"70",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",null,"1","2","0","3","14370","634","13736"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",null,"1","4","0","5","14007","592","13415"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",null,"0","4","0","4","10969","564","10405"
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"0","2","3","5","87041","1715","85381"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"0","2","4","6","85499","1689","83865"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"0","1","4","5","85526","1653","83930"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"0","3","6","9","85821","1630","84240"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"1","0","1","2","85967","1623","84383"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO RIBEIRAO PRETO S.A.,null,"0","0","1","1","3988","3815","1881"
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,BANCO SEMEAR S.A.,null,"4","0","1","5","290731","2996","287950"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,BANCO SEMEAR S.A.,null,"3","4","2","9","282882","3185","279988"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,BANCO SEMEAR S.A.,null,"2","2","0","4","270979","3638","267795"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO SEMEAR S.A.,null,"5","2","2","9","288254","4042","284806"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO SEMEAR S.A.,null,"0","2","1","3","311109","4418","307467"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO B3 S.A.,null,"1","0","3","4","874","874",null
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO RABOBANK INTERNATIONAL BRASIL S.A.,null,"0","1","0","1","3933","3748","1744"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO RABOBANK INTERNATIONAL BRASIL S.A.,null,"0","1","0","1","3831","3643","1751"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,CIELO S.A.,null,"28","23","47","98","122732","122628","104"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,CIELO S.A.,null,"21","27","25","73","146900","146794","106"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,VERDE - ADMINISTRADORA DE CARTOES DE CREDITO S.A.,null,"2","7","2","11","435518",null,"435518"
